store,province,postal,sku,title,brand,category,price,price_per_unit,size_text,image,url,scraped_at,source_file
Walmart,,,Dairyland-3-25-Old-Fashioned-Chocolate-Milk,"Dairyland 3.25% Old Fashioned Chocolate Milk, 946 mL",Dairyland,search:milk,4.08,,,https://i5.walmartimages.com/asr/b08e9453-341d-41d3-b26c-cadc2ebb7374.26a3c31d1196ecb76e4021d9a8ae0c0c.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-3-25-Old-Fashioned-Chocolate-Milk/6000205247662,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-Lactose-Free-3-25-Homogenized-Milk,"Dairyland Lactose Free 3.25% Homogenized Milk, 1.89L",Dairyland Lactose Free,search:milk,6.38,,,https://i5.walmartimages.com/asr/8726dc24-87c9-4661-a656-732fef1bbfde.6cc6277a87ffd5ec83ea133e622ef74d.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-Free-3-25-Homogenized-Milk/74URCPGX04ND,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-Lactose-free-1-Partly-Skimmed-Milk,"Dairyland Lactose free 1% Partly Skimmed Milk, 4L",Dairyland Lactose free,search:milk,11.38,,,https://i5.walmartimages.com/asr/13f6c869-4653-4c46-9fcd-f771d3a0dcdf.9302e2d3be50961bf90e2530c01c13b5.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-free-1-Partly-Skimmed-Milk/6000196823318,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-Lactose-Free-Skim-Milk,"Dairyland Lactose Free Skim Milk, 1.89L",Dairyland Lactose Free,search:milk,6.38,,,https://i5.walmartimages.com/asr/7ea65e94-0031-4186-92ce-437941ed8195.066062cfca54077bbe594deb9b2cbb39.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Lactose-Free-Skim-Milk/1P5ZRACHZXIY,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-2-Milk,"Dairyland 2% Milk, 2L",Dairyland,search:milk,4.6,,,https://i5.walmartimages.com/asr/bfc619ed-8a07-40fe-b87b-0525bf3c1fa4.046c676aaef85b053c81d75927eba35a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-2-Milk/10183930,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-1-Partly-Skimmed-Milk,"Dairyland 1% Partly Skimmed Milk, 4L",Dairyland,search:milk,5.79,,,https://i5.walmartimages.com/asr/170b9e0e-8656-4deb-b072-e6dbbefe9504.0c2911fef3282715aa54bfd2a3c5299e.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-1-Partly-Skimmed-Milk/10189709,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-Microfiltered-Skim-Milk,"Dairyland Microfiltered Skim Milk, 1.89L",Dairyland Microfiltered Skim,search:milk,6.68,,,https://i5.walmartimages.com/asr/0dd23386-bb4a-4d8a-aac4-5bfd3f31f66f.7f4d24021a7351008281958bfc216f54.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-Microfiltered-Skim-Milk/4U4KH4206GKZ,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-1-Milk,"Dairyland 1% Milk, 2L",Dairyland,search:milk,4.6,,,https://i5.walmartimages.com/asr/73c862d0-fc7b-47fc-b3d1-211c36609ad6.6cab40fb27578c910b01945167e6b46e.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-1-Milk/10183944,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-1-Chocolate-Partly-Skimmed-Milk,"Dairyland 1% Chocolate Partly Skimmed Milk, 4L",Dairyland,search:milk,6.68,,,https://i5.walmartimages.com/asr/9792b4f4-40ee-4b8e-9bb6-f804afe6db7e.7d66598d5f6e89ae5900f4a156ab6124.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-1-Chocolate-Partly-Skimmed-Milk/2J6ROGMXAR20,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
Walmart,,,Dairyland-2-Partly-Skimmed-Milk,"Dairyland 2% Partly Skimmed Milk, 4L",Dairyland,search:milk,5.79,,,https://i5.walmartimages.com/asr/afcaf4a8-dc78-43ff-b578-548fe0c7d414.b41fd10e141c471ff2e34d07675742ea.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-2-Partly-Skimmed-Milk/10183990,2025-10-21T05:15:36Z,data\daily\2025-10-21\walmart_milk.csv
