title,brand,price,price_per_unit,image,url,sku,category,scraped_at
"Dairyland 3.25% Old Fashioned Chocolate Milk, 946 mL",,3.25,,https://i5.walmartimages.com/asr/b08e9453-341d-41d3-b26c-cadc2ebb7374.26a3c31d1196ecb76e4021d9a8ae0c0c.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=10019_-1_6000194327399&rdf=1&rd=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2FDairyland-3-25-Old-Fashioned-Chocolate-Milk%2F6000205247662&adUid=e5afb5db-19f0-4932-b1ae-0c0353dade5e&mloc=sp-search-middle&pltfm=desktop&pgId=milk&pt=search&spQs=17TVkBmDIJWxwzBB-vrlyhGkgRgCom2DUTNWa-k7Fp4sPRxKk_8atcI1E3gjLbbtM01lxYL4kVKprLx1XJMwJIzmQZXgk0phfGAxb2MDrhooQiwQE0s6SYBcXokc4JxueA6Gpv3M3VG8nXvaPovRhzAiUf_2bws0mQvFYB0OuaeSQN6wqGov6F5gPa0kQkWT2UyNoaKQmVQMwC4RG4sf0O5a_oM95ZjCJs1u6cff67c3ZRMT-DEE4YKu3ALPru_t278TJgAId24vtQ3taxyPgA&storeId=3009&tn=WMT_CA&wtn=qxjed8&bkt=ace1_default%7Cace2_default%7Cace3_default&/en/ip/Dairyland-3-25-Old-Fashioned-Chocolate-Milk/6000205247662,Dairyland-3-25-Old-Fashioned-Chocolate-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland Lactose Free 3.25% Homogenized Milk, 1.89L",,3.25,,https://i5.walmartimages.com/asr/8726dc24-87c9-4661-a656-732fef1bbfde.6cc6277a87ffd5ec83ea133e622ef74d.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=10019_-1_6000194327399&rdf=1&rd=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2FDairyland-Lactose-Free-3-25-Homogenized-Milk%2F74URCPGX04ND&adUid=e5afb5db-19f0-4932-b1ae-0c0353dade5e&mloc=sp-search-middle&pltfm=desktop&pgId=milk&pt=search&spQs=vqn7r-RpkOiT09q6yPPUGLyM9bouluPtJrfJHRnlznHG0vFYAe_CgLi_NbZ3AF5JLFey592gz6FOp_wM-iY6iWYuj5zK_i-1JrxP0NplPca8-_TyQw1jenS3VkEqaJj7weLsdaw6YFaoSAE9DfbS1SrzgawrjQ8VjgIixWYAarRgSr-gzdJpZXomLMfnlyq5KS8epdgpvjljZUsQne4_2seyDf5TfbPkF-8aG3YEuYxWi7f_DU7vNw2RhH9uWOVjkneYhOD_GK-qwlh4Wmw0kg&storeId=3009&tn=WMT_CA&wtn=qxjed8&bkt=ace1_default%7Cace2_default%7Cace3_default&/en/ip/Dairyland-Lactose-Free-3-25-Homogenized-Milk/74URCPGX04ND,Dairyland-Lactose-Free-3-25-Homogenized-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland Lactose free 1% Partly Skimmed Milk, 4L",,11.38,,https://i5.walmartimages.com/asr/13f6c869-4653-4c46-9fcd-f771d3a0dcdf.9302e2d3be50961bf90e2530c01c13b5.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=10019_-1_6000194327399&rdf=1&rd=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2FDairyland-Lactose-free-1-Partly-Skimmed-Milk%2F6000196823318&adUid=e5afb5db-19f0-4932-b1ae-0c0353dade5e&mloc=sp-search-middle&pltfm=desktop&pgId=milk&pt=search&spQs=CCWQS8hsF5nA42fTcl0Ps1dIz3XY2pCSKQPzrllCCsksPRxKk_8atcI1E3gjLbbtM01lxYL4kVKprLx1XJMwJIzmQZXgk0phfGAxb2MDrhooQiwQE0s6SYBcXokc4JxueA6Gpv3M3VG8nXvaPovRh8wyC-ShU6k5Xa682ZEnT_-HnEcavda92tXvFmoZ4vqb2UyNoaKQmVQMwC4RG4sf0O5a_oM95ZjCJs1u6cff67c3ZRMT-DEE4YKu3ALPru_t278TJgAId24vtQ3taxyPgA&storeId=3009&tn=WMT_CA&wtn=qxjed8&bkt=ace1_default%7Cace2_default%7Cace3_default&/en/ip/Dairyland-Lactose-free-1-Partly-Skimmed-Milk/6000196823318,Dairyland-Lactose-free-1-Partly-Skimmed-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland Lactose Free Skim Milk, 1.89L",,1.89,,https://i5.walmartimages.com/asr/7ea65e94-0031-4186-92ce-437941ed8195.066062cfca54077bbe594deb9b2cbb39.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=10019_-1_6000194327399&rdf=1&rd=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2FDairyland-Lactose-Free-Skim-Milk%2F1P5ZRACHZXIY&adUid=e5afb5db-19f0-4932-b1ae-0c0353dade5e&mloc=sp-search-middle&pltfm=desktop&pgId=milk&pt=search&spQs=tcBe3CS0TZVQs4L586wsXVhOMqVWp5GSRMd2C3rYyGPG0vFYAe_CgLi_NbZ3AF5JLFey592gz6FOp_wM-iY6iWYuj5zK_i-1JrxP0NplPca8-_TyQw1jenS3VkEqaJj7weLsdaw6YFaoSAE9DfbS1csCr36vOcLBlDOxQAJIz6x6TWitUHgHEGevOqFZL9nNKS8epdgpvjljZUsQne4_2seyDf5TfbPkF-8aG3YEuYxWi7f_DU7vNw2RhH9uWOVjkneYhOD_GK-qwlh4Wmw0kg&storeId=3009&tn=WMT_CA&wtn=qxjed8&bkt=ace1_default%7Cace2_default%7Cace3_default&/en/ip/Dairyland-Lactose-Free-Skim-Milk/1P5ZRACHZXIY,Dairyland-Lactose-Free-Skim-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland 2% Milk, 2L",,4.6,,https://i5.walmartimages.com/asr/bfc619ed-8a07-40fe-b87b-0525bf3c1fa4.046c676aaef85b053c81d75927eba35a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-2-Milk/10183930?fulfillmentIntent=Pickup&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22Pickup%22%5D%7D%5D&classType=REGULAR&athbdg=L3048&from=/search,Dairyland-2-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland 1% Partly Skimmed Milk, 4L",,5.79,,https://i5.walmartimages.com/asr/170b9e0e-8656-4deb-b072-e6dbbefe9504.0c2911fef3282715aa54bfd2a3c5299e.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-1-Partly-Skimmed-Milk/10189709?fulfillmentIntent=Pickup&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22Pickup%22%5D%7D%5D&classType=REGULAR&athbdg=L3048&from=/search,Dairyland-1-Partly-Skimmed-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland 2% Milk, 1L",,2.78,,https://i5.walmartimages.com/asr/0b8c5209-4dbd-48da-b842-75a837a79c01.07b06a05183547056e4c60a6e4a19a9b.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-2-Milk/10183748?fulfillmentIntent=Pickup&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22Pickup%22%5D%7D%5D&classType=REGULAR&athbdg=L3048&from=/search,Dairyland-2-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland Microfiltered Skim Milk, 1.89L",,1.89,,https://i5.walmartimages.com/asr/0dd23386-bb4a-4d8a-aac4-5bfd3f31f66f.7f4d24021a7351008281958bfc216f54.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=8&tax=10019_-1_6000194327399&rdf=1&rd=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2FDairyland-Microfiltered-Skim-Milk%2F4U4KH4206GKZ&adUid=e5afb5db-19f0-4932-b1ae-0c0353dade5e&mloc=sp-search-middle&pltfm=desktop&pgId=milk&pt=search&spQs=ModHT06ZACCaB0PknoSxGpXNgTDU8YA5Rp8ercO_sBnG0vFYAe_CgLi_NbZ3AF5JLFey592gz6FOp_wM-iY6iWYuj5zK_i-1JrxP0NplPca8-_TyQw1jenS3VkEqaJj7weLsdaw6YFaoSAE9DfbS1RFL5tMjZ_bafs3hQVv07i7pnS8Clqx3FiV3T-03lJ7EKS8epdgpvjljZUsQne4_2seyDf5TfbPkF-8aG3YEuYxWi7f_DU7vNw2RhH9uWOVjkneYhOD_GK-qwlh4Wmw0kg&storeId=3009&tn=WMT_CA&wtn=qxjed8&bkt=ace1_default%7Cace2_default%7Cace3_default&/en/ip/Dairyland-Microfiltered-Skim-Milk/4U4KH4206GKZ,Dairyland-Microfiltered-Skim-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland 1% Milk, 2L",,4.6,,https://i5.walmartimages.com/asr/73c862d0-fc7b-47fc-b3d1-211c36609ad6.6cab40fb27578c910b01945167e6b46e.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-1-Milk/10183944?fulfillmentIntent=Pickup&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22Pickup%22%5D%7D%5D&classType=REGULAR&athbdg=L3048&from=/search,Dairyland-1-Milk,search:milk,2025-10-21T05:08:16Z
"Dairyland 1% Chocolate Partly Skimmed Milk, 4L",,6.68,,https://i5.walmartimages.com/asr/9792b4f4-40ee-4b8e-9bb6-f804afe6db7e.7d66598d5f6e89ae5900f4a156ab6124.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,https://www.walmart.ca/en/ip/Dairyland-1-Chocolate-Partly-Skimmed-Milk/2J6ROGMXAR20?fulfillmentIntent=Pickup&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22Pickup%22%5D%7D%5D&classType=REGULAR&athbdg=L1102&from=/search,Dairyland-1-Chocolate-Partly-Skimmed-Milk,search:milk,2025-10-21T05:08:16Z
